Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
218556,218556,0007028EA4,Tracking,Monitored,release,male,Tamdoult,2011-05-26 07:53:00,29.26933,-8.32494,
218556,218556,0007028EA4,Tracking,Monitored,release,male,Tamdoult,2011-05-26 07:53:00,29.26933,-8.32494,
219951,219951,0007025FCA,Tracking,Monitored,release,male,Semaira,2011-06-07 09:36:00,30.13623,-6.76491,
219951,219951,0007025FCA,Tracking,Monitored,release,male,Semaira,2011-06-07 09:36:00,30.13623,-6.76491,
217243,217243,000702E1C6,Tracking,Lost,release,male,Ouizghet,2011-09-02 12:16:00,32.96006,-4.01642,mortality
217558,217558,0007138AA5,Post-Release,Lost,release,male,Oued Zguid,2011-11-28 11:58:00,29.94211,-6.97678,
218312,218312,0006E7E41F,Tracking,Monitored,release,male,Hassi Lâaricha,2012-01-10 11:48:00,32.75106,-2.21575,
218312,218312,0006E7E41F,Tracking,Monitored,release,male,Hassi Lâaricha,2012-01-10 11:48:00,32.75106,-2.21575,
218080,218081,00071B1479,Post-Release,Monitored,release,female,El Hamda,2012-02-10 10:42:00,32.46579,-2.08869,
218080,218081,00071B1479,Post-Release,Monitored,release,female,El Hamda,2012-02-10 10:42:00,32.46579,-2.08869,
218010,218010,0006F3F59B,Tracking,Monitored,release,female,Zehda,2011-01-18 10:42:00,33.09771,-2.45660,
214913,214914,000702F7A7,Post-Release,Monitored,release,male,Zaoueya,2011-02-02 10:40:00,29.96644,-6.43408,
214913,214914,000702F7A7,Post-Release,Monitored,release,male,Zaoueya,2011-02-02 10:40:00,29.96644,-6.43408,
215709,215709,000702F277,Post-Release,Monitored,release,female,Dayat Lahmir,2011-03-10 14:56:00,33.57102,-2.62104,
215709,215709,000702F277,Post-Release,Monitored,release,female,Dayat Lahmir,2011-03-10 14:56:00,33.57102,-2.62104,
215709,215709,000702F277,Post-Release,Monitored,release,female,Dayat Lahmir,2011-03-10 14:56:00,33.57102,-2.62104,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
217602,217602,0006E7EB16,Breeding,Monitored,release,female,Ouled Rahou,2011-04-28 07:50:00,33.02320,-3.94170,
218502,218503,0007028098,Breeding,Monitored,release,female,Ait Wabli,2011-05-05 12:07:00,29.22207,-8.50101,
218502,218503,0007028098,Breeding,Monitored,release,female,Ait Wabli,2011-05-05 12:07:00,29.22207,-8.50101,
219534,219534,000702871D,Post-Release,Lost,release,male,Laaraguib,2011-05-13 08:14:00,33.87011,-2.89257,
219452,219452,0007028342,Tracking,Lost,release,female,Tamlelt,2011-09-06 08:20:00,32.32173,-2.30180,
217578,217578,000702DA9A,Post-Release,Monitored,release,male,Talha,2011-10-04 10:24:00,33.05791,-2.32834,
216761,216761,000702D3CC,Tracking,Monitored,release,male,Tizgaine,2011-10-27 08:34:00,33.20564,-2.91776,
219242,219242,000702FA23,Tracking,Monitored,release,female,Ghilan,2011-10-31 15:48:00,32.65750,-2.98277,
215871,215871,0007027A57,Post-Release,Monitored,release,female,Amourzeg,2011-11-03 08:04:00,32.77836,-2.60515,
215871,215871,0007027A57,Post-Release,Monitored,release,female,Amourzeg,2011-11-03 08:04:00,32.77836,-2.60515,
215871,215871,0007027A57,Post-Release,Monitored,release,female,Amourzeg,2011-11-03 08:04:00,32.77836,-2.60515,
216191,216192,0007025DE7,Tracking,Monitored,release,female,Zehda,2011-11-10 11:57:00,33.06811,-2.51144,
216191,216192,0007025DE7,Tracking,Monitored,release,female,Zehda,2011-11-10 11:57:00,33.06811,-2.51144,
216447,216447,00070287C3,Post-Release,Monitored,release,male,Bel Ghiada,2011-11-10 17:11:00,32.66644,-2.73884,
216447,216447,00070287C3,Post-Release,Monitored,release,male,Bel Ghiada,2011-11-10 17:11:00,32.66644,-2.73884,
216447,216447,00070287C3,Post-Release,Monitored,release,male,Bel Ghiada,2011-11-10 17:11:00,32.66644,-2.73884,
215662,215662,00071B20F3,Breeding,Monitored,release,female,Sahma,2012-02-09 10:07:00,33.22298,-3.75553,
217163,217163,W-00081,Breeding,Monitored,wild,female,Oued Sidi Ali,2012-03-09 13:52:00,33.32338,-2.77942,
215374,215374,000702E783,Post-Release,Monitored,release,female,Traride,2012-04-13 07:52:00,33.47546,-2.13529,
215374,215374,000702E783,Post-Release,Monitored,release,female,Traride,2012-04-13 07:52:00,33.47546,-2.13529,
215374,215374,000702E783,Post-Release,Monitored,release,female,Traride,2012-04-13 07:52:00,33.47546,-2.13529,
215374,215374,000702E783,Post-Release,Monitored,release,female,Traride,2012-04-13 07:52:00,33.47546,-2.13529,
215374,215374,000702E783,Post-Release,Monitored,release,female,Traride,2012-04-13 07:52:00,33.47546,-2.13529,
218090,218090,0007200F7B,Post-Release,Lost,release,male,Mengoub,2012-05-04 08:33:00,32.34545,-2.05249,normal
219423,219423,00071ADB07,Post-Release,Monitored,release,male,Nefekha,2012-05-02 11:38:00,33.53654,-2.79819,
219962,219962,00071B319E,Post-Release,Monitored,release,male,Nif Dreg,2012-05-18 05:46:00,32.87621,-3.91204,
219962,219962,00071B319E,Post-Release,Monitored,release,male,Nif Dreg,2012-05-18 05:46:00,32.87621,-3.91204,
217961,217961,00070283C9,Tracking,Monitored,release,male,Sahma,2012-05-29 09:09:00,33.12097,-3.77236,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
215839,215839,00071FF92C,Post-Release,Monitored,release,male,Enjil,2012-06-26 08:25:00,33.09619,-4.54193,
